time_freq,div1_method,period,efp_nh,efp_sh,efp_nh_500,efp_sh_500
6h,div1_pr,1958-2016,0.3849,0.2914,0.375,0.2628
6h,div1_pr,1979-2016,0.4498,0.3524,0.4541,0.3119
6h,div1_pr,1979-2014,0.4525,0.35,0.4602,0.3256
6h,div1_QG,1958-2016,0.3532,0.274,0.305,0.2267
6h,div1_QG,1979-2016,0.426,0.3266,0.3941,0.2616
6h,div1_QG,1979-2014,0.4294,0.3207,0.3989,0.2633
daily,div1_pr,1958-2016,0.3199,0.1775,0.3143,0.1165
daily,div1_pr,1979-2016,0.3846,0.2114,0.3927,0.1327
daily,div1_pr,1979-2014,0.3888,0.207,0.4012,0.1381
daily,div1_QG,1958-2016,0.2885,0.1734,0.2418,0.1057
daily,div1_QG,1979-2016,0.3613,0.2027,0.3308,0.108
daily,div1_QG,1979-2014,0.3672,0.1942,0.3394,0.1019
