model,efp_nh,efp_nh_gt3,efp_nh_123,efp_sh,efp_sh_gt3,efp_sh_123
AWI-CM-1-1-MR,0.2592,0.1931,0.0607,0.2557,0.2325,0.0223
CNRM-CM6-1,0.2244,0.1286,0.0827,0.1944,0.1805,0.0132
CanESM5,0.3133,0.1771,0.1232,0.3271,0.2758,0.0195
FGOALS-f3-L,0.2353,0.1231,0.0731,0.1273,0.1061,0.0114
HadGEM3-GC31-LL,0.1735,0.1072,0.0529,0.1729,0.1528,0.016
HadGEM3-GC31-MM,0.2525,0.1087,0.1022,0.1874,0.1544,0.014
IPSL-CM6A-LR,0.2623,0.1947,0.0654,0.2015,0.1938,0.0179
MIROC6,0.1592,0.1045,0.0425,0.2058,0.1458,0.0273
JRA55,0.3631,0.1422,0.1763,0.2031,0.1811,0.032
