Model,Regridded NH EFP,New NH EFP,Regridded SH EFP,New SH EFP
CESM1-WACCM-SC,0.1446,0.1325,0.0308,0.0295
CESM2,0.4213,0.3782,0.3803,0.3528
CNRM-CM6-1,0.2819,0.2469,0.2549,0.2145
CanESM5,0.4516,0.4314,0.4917,0.4715
EC-EARTH3,0.3538,0.3003,0.3699,0.3194
FGOALS-f3-L,0.2688,0.2395,0.1548,0.1306
HadGEM3-GC31-LL,0.3216,0.2780,0.3496,0.3037
HadGEM3-GC31-MM,0.3807,0.3166,0.3705,0.3071
IPSL-CM6A-LR,0.3090,0.2762,0.2366,0.2015
MIROC6,0.2578,0.2216,0.3714,0.3316
NorESM2-LM,0.3539,0.3294,0.4055,0.3850
OpenIFS-159,0.3825,0.3328,0.3836,0.3355
OpenIFS-511,0.2751,0.2325,0.3617,0.3100
